PAGARIYA SUPER SHOPEE|||||||||||||
Kot Bazar, DHARANGAON|||||||||||||
ITEM Amount wise Stock Statement From Date 29/01/2026 To 29/01/2026|||||||||||||
Item Name|Size|MRP|Op.Stock|Op.Amt.|Stock In|In Amt.|Stock Out|Out Amt.|Cl.Stock|Cl. Amt.|Profit/Loss|G.P.%|Closing Rate
ARIEL FRONT LOAD|2 KG|0|||||||||||65535
ARIEL FRONT LOAD|4+1.80KG|0|1|980.86|||||1|980.86|||980.86
ARIEL FRONT LOAD|4KG+2KG|0|2|2230.24|||||2|2230.24|||1115.12
ARIEL FRONT LOAD|500 ML|0|-1|-102|||||-1|-102|||102
ARIEL FRONT LOAD LIQ|2 LIT|0|4|1123.32|||||4|1123.32|||280.83
ARIEL FRONT LOAD LIQ|2.50 LIT|0|1|417.76|||||1|417.76|||417.76
ARIEL FRONT LOAD LIQ|3 KG|0|3|1154.65|||||3|1154.65|||384.883333333333
ARIEL FRONT LOAD LIQ|500 ML|0|1|111.5|||||1|111.5|||111.5
ARIEL FRONT LOAD LIQ|900 GM|0|11|1344.39|||||11|1344.39|||122.217272727273
ARIEL FRONT LOAD POUCH|1 LTR|0|2|244.44|||||2|244.44|||122.22
ARIEL FRONT LOAD POUCH|3 LIT|0|||||||||||65535
ARIEL MATIC LIQ|50 ML|0|||||||||||65535
ARIEL MATIC LIQ 1LIT|1 LIT|0|1|160.91|||||1|160.91|||160.91
ARIEL MATIC TL|1KG|0|1|169.46|||||1|169.46|||169.46
ARIEL MATIC TOP LOAD|500 GM|0|1|121.79|||||1|121.79|||121.79
ARIEL OXY BLUE|500GM|0|-1|-82.39|||||-1|-82.39|||82.39
ARIEL OXYBLUE|200GM|0|1|29.99|||||1|29.99|||29.99
ARIEL PERFECT WASH|1 KG|0|6|686.54|||||6|686.54|||114.423333333333
ARIEL PERFECT WASH|5 KG|0|3|1429.49|||||3|1429.49|||476.496666666667
ARIEL PERFECT WASH|500 GM|0|6|343.18|||||6|343.18|||57.1966666666667
ARIEL POWDER|1KG+500 GM|0|-1|-187.37|||||-1|-187.37|||187.37
ARIEL POWDER|4 KG|0|1|394.67|||||1|394.67|||394.67
ARIEL POWDER|4 KG|0|1|414.98|||||1|414.98|||414.98
ARIEL POWDER|4 KG|0|1|518.25|||||1|518.25|||518.25
ARIEL POWDER|POUCH|0|6|43.23|||||6|43.23|||7.205
ARIEL RS 10|POUCH|0|40|288.23|||||40|288.23|||7.20575
ARIEL TOP LOAD|1 KG|0|4|855.63|||||4|855.63|||213.9075
ARIEL TOP LOAD|4+2 KG|0|2|1932.07|||||2|1932.07|||966.035
ARIEL TOP LOAD LQD|2 LIT|0|3|725.52|||||3|725.52|||241.84
ARIEL TOP LOAD LQD|900 GM|0|9|969.75|||||9|969.75|||107.75
ARIEL TOP LOAD POUCH|1 LTR|0|||||||||||65535
ARIEL TOP LOAD POUCH|3 LIT|0|2|662.44|||||2|662.44|||331.22
ARIHANT RS 10|1|0|101|707|||1|10|100|700|3|30|7
ARIHANT RS 20|1|0|93.5|1309|||||93.5|1309|||14
ARISTO 18||0|3|483.3|||||3|483.3|||161.1
ARISTO 24|1 PCS|0|1|247.5|||||1|247.5|||247.5
ARISTO 24 FOLDER|1|0|1|228.81|||||1|228.81|||228.81
ARISTO BROOM|1 PCS|0|1|90.48|||||1|90.48|||90.48
ARISTO DUST PAN|1 PCS|0|1|9.32|||||1|9.32|||9.32
ARISTO LUXOR 222|1|0|65|2478.8|||||65|2478.8|||38.1353846153846
ARISTO MISTY 111|1|0|1|19.07|||||1|19.07|||19.07
ARISTO MISTY 222|1|0|1|25|||||1|25|||25
ARJUNARISTA|450 ML|0|3|276.17|||||3|276.17|||92.0566666666667
ARMANI BOTTLE|1  PCS|0|10||||||10||||0
AROMA MARROW FACE PACK|60 G|0|3|283.74|||||3|283.74|||94.58
AROMA TRIPLE P.V OIL|100 ML|0|1|170.25|||||1|170.25|||170.25
ARROW HANGER|6|0|1|104.24|||||1|104.24|||104.24
ASHWAGANDHA CHURAN|100 GM|0|||||||||||65535
ASIAN|250 GM|0|1|180|||||1|180|||180
ASSAL MIX PICKLES|200 GM|0|1|0.1|||||1|0.1|||0.1
ASSAL MIX PICKLES|500 GM|0|1|56.25|||||1|56.25|||56.25
ASSAL PICKLES|1 KG|0|||||||||||65535
ASSAL PICKLES|200 GM|0|3|0.3|||||3|0.3|||0.1
ASSAL PICKLES|500 GM|0|4.5|336|||||4.5|336|||74.6666666666667
ASWAD BHAJI|200 GM|0|2|46|||||2|46|||23
ASWAD KHAMAN 200GM|200 GM|0|1|19.5|||||1|19.5|||19.5
ATTA  K|200 GM|0|3|180|||||3|180|||60
ATTA CHARMINOR|5 KG|0|-23|-3942.85|||||-23|-3942.85|||171.428260869565
ATTA DOODH RUSK|200 GM|0|2|46.74|||||2|46.74|||23.37
ATTA LOOSE|1 KG|0|-200|-6132|||||-200|-6132|||30.66
ATTA LOOSE|5 KG|0|-22|-4051.67|||||-22|-4051.67|||184.166818181818
ATTA MARIE|300 GM|0|1|26.48|||||1|26.48|||26.48
ATTA MUFFIN CHOC|3 PIC|0|2|29.46|||||2|29.46|||14.73
ATTA MUFFIN CHOC|6 PIC|0|1|29.47|||||1|29.47|||29.47
ATTA MUFFIN VANILLA|3 PIC|0|1|14.73|||||1|14.73|||14.73
ATTA NOODLES YUMMY MASALA|60 GM|0|5|46.75|||||5|46.75|||9.35
ATTAR FUL PREMIUM DHOOP|100 GM|0|1|40|||||1|40|||40
AUTO FEED BOTTLE|1|0|-1|-40.58|||||-1|-40.58|||40.58
AUTO FLOW  POWDER PUFF|1|0|9|415.8|||||9|415.8|||46.2
AUTO FLOW NIPPLE|1|0|29|589.57|||||29|589.57|||20.33
AUTO FLOW POLY CORBO BOTTLE|1|0|1|56.9|||||1|56.9|||56.9
AUTO FLOW POPULAR POWDER PUFF|1|0|2|106|||||2|106|||53
AUTOFLOW 4IN 1|1|0|1|63.51|||||1|63.51|||63.51
AUTOFLOW FEEDIND BOTTLE 125|125|0|3|121.92|||||3|121.92|||40.64
AVINASH EXAM BOARD|1 PCS|0|6|282|||||6|282|||47
AVINASH EXAM BOARD|1 PCS|0|1||||||1||||0
AXE DARK TEMPTATION|150ML|195|1|125.46|||||1|125.46|||125.46
AXE DENIM SHAVING CREME|60GM|0|1|43.19|||||1|43.19|||43.19
AXE MINI INTENSE|10 ML|0|1|23.57|||||1|23.57|||23.57
AXE MINI TICKET|10 ML|0|2|46.82|||||2|46.82|||23.41
AXE RECHARGE+ 24*7DEO|150ML|195|2|249.26|||||2|249.26|||124.63
AXE SIGNAURE TEMPTATATION PACKET DEO|1|0|2||||||2||||0
